0.000038,0.000038,89.999962,0.000038,89.999962,0.000038
0.000307,0.000307,89.999693,0.000307,89.999693,0.000307
0.001037,0.001037,89.998963,0.001037,89.998963,0.001037
0.002458,0.002458,89.997542,0.002458,89.997542,0.002458
0.0048,0.0048,89.9952,0.0048,89.9952,0.0048
0.008294,0.008294,89.991706,0.008294,89.991706,0.008294
0.013171,0.013171,89.986829,0.013171,89.986829,0.013171
0.019656,0.019656,89.980344,0.019656,89.980344,0.019656
0.027864,0.027864,89.972136,0.027864,89.972136,0.027864
0.0378,0.0378,89.9622,0.0378,89.9622,0.0378
0.049464,0.049464,89.950536,0.049464,89.950536,0.049464
0.062856,0.062856,89.937144,0.062856,89.937144,0.062856
0.077976,0.077976,89.922024,0.077976,89.922024,0.077976
0.094824,0.094824,89.905176,0.094824,89.905176,0.094824
0.1134,0.1134,89.8866,0.1134,89.8866,0.1134
0.133704,0.133704,89.866296,0.133704,89.866296,0.133704
0.155736,0.155736,89.844264,0.155736,89.844264,0.155736
0.179496,0.179496,89.820504,0.179496,89.820504,0.179496
0.204984,0.204984,89.795016,0.204984,89.795016,0.204984
0.2322,0.2322,89.7678,0.2322,89.7678,0.2322
0.261144,0.261144,89.738856,0.261144,89.738856,0.261144
0.291816,0.291816,89.708184,0.291816,89.708184,0.291816
0.324216,0.324216,89.675784,0.324216,89.675784,0.324216
0.358344,0.358344,89.641656,0.358344,89.641656,0.358344
0.3942,0.3942,89.6058,0.3942,89.6058,0.3942
0.431784,0.431784,89.568216,0.431784,89.568216,0.431784
0.471096,0.471096,89.528904,0.471096,89.528904,0.471096
0.512136,0.512136,89.487868,0.512136,89.487868,0.512136
0.554904,0.554904,89.445215,0.554904,89.445215,0.554904
0.5994,0.5994,89.401171,0.5994,89.401171,0.5994
0.645624,0.645624,89.355966,0.645624,89.355966,0.645624
0.693576,0.693576,89.30983,0.693576,89.30983,0.693576
0.743256,0.743256,89.262993,0.743256,89.262993,0.743256
0.794664,0.794664,89.215686,0.794664,89.215686,0.794664
0.847799,0.847799,89.168139,0.847799,89.168139,0.847799
0.902584,0.902584,89.12055,0.902584,89.12055,0.902584
0.958802,0.958802,89.07296,0.958802,89.07296,0.958802
1.016224,1.016224,89.02537,1.016224,89.02537,1.016224
1.074618,1.074618,88.97778,1.074618,88.97778,1.074618
1.133755,1.133755,88.93019,1.133755,88.93019,1.133755
1.193403,1.193403,88.8826,1.193403,88.8826,1.193403
1.253334,1.253334,88.83501,1.253334,88.83501,1.253334
1.313333,1.313333,88.787421,1.313333,88.787421,1.313333
1.373333,1.373333,88.739831,1.373333,88.739831,1.373333
1.433333,1.433333,88.692241,1.433333,88.692241,1.433333
1.493333,1.493333,88.644651,1.493333,88.644651,1.493333
1.553333,1.553333,88.597061,1.553333,88.597061,1.553333
1.613333,1.613333,88.549471,1.613333,88.549471,1.613333
1.673333,1.673333,88.501881,1.673333,88.501881,1.673333
1.733333,1.733333,88.454291,1.733333,88.454291,1.733333
1.793333,1.793333,88.406702,1.793333,88.406702,1.793333
1.853333,1.853333,88.359112,1.853333,88.359112,1.853333
1.913333,1.913333,88.311522,1.913333,88.311522,1.913333
1.973333,1.973333,88.263932,1.973333,88.263932,1.973333
2.033333,2.033333,88.216342,2.033333,88.216342,2.033333
2.093333,2.093333,88.168752,2.093333,88.168752,2.093333
2.153333,2.153333,88.121162,2.153333,88.121162,2.153333
2.213333,2.213333,88.073573,2.213333,88.073573,2.213333
2.273333,2.273333,88.025983,2.273333,88.025983,2.273333
